"urutan","pertanyaan","jawaban","verdict"
"149","dimana konferensi meja bundar dilaksanakan?","indonesia","WA"
"150","dimana konferensi meja bundar dilaksanakan?","luar jawa","WA"
"151","dimana perjanjian renville dibuat?","daerah ri","WA"
"152","dimana perjanjian renville dibuat?","daerah ri","WA"
"153","dimana perjanjian renville dibuat?","daerah ri","WA"
"154","kapan perjanjian renville dilakukan?","bulan juni 1948","AC"
"155","kapan perjanjian renville dilakukan?","bulan juni 1948","AC"
"156","kapan perjanjian renville dilakukan?","tanggal 19 desember 1948","WA"
"157","siapa pengetik naskah proklamasi?","sukarno","WA"
"158","siapa pengetik naskah proklamasi?","mr ahmad subardjo","WA"
"159","siapa pengetik naskah proklamasi?","sukarno","WA"
"160","kapan pancasila lahir?","uud 1945","WA"
"161","kapan pancasila lahir?","1945","WA"
"162","kapan pancasila lahir?","1945","WA"
"163","siapa ketua ppki?","mr.ahmad soerbadjo","WA"
"164","siapa ketua ppki?","prof mr dr soepomo","WA"
"165","siapa ketua ppki?","prof mr dr soepomo","WA"
"166","kapan nagasaki dibom?","8 agustus 1945","WA"
"167","kapan nagasaki dibom?","10 agustus 1945","WA"
"168","kapan nagasaki dibom?","tanggal 9 agustus 1945","AC"
"169","kapan hiroshima dibom?","6 agustus 1945","AC"
"170","kapan hiroshima dibom?","tanggal 9 agustus 1945","WA"
"171","kapan hiroshima dibom?","tanggal 8 agustus 1945","WA"
"172","kapan reformasi terjadi?","13 mei 1998","AC"
"173","kapan reformasi terjadi?","1643 1715","WA"
"174","kapan reformasi terjadi?","abad 18","WA"
"175","dimana letak kerajaan majapahit?","gujarat","WA"
"176","dimana letak kerajaan majapahit?","makam leluhurnya","WA"
"177","dimana letak kerajaan majapahit?","wilayah","WA"
"178","kapan indonesia kembali menjadi anggota pbb?","tanggal 14 april 1949","WA"
"179","kapan indonesia kembali menjadi anggota pbb?","tanggal 3 mei 1956","WA"
"180","kapan indonesia kembali menjadi anggota pbb?","7 agustus 1945","WA"
