urutan,pertanyaan,jawaban,verdict
49,kapan portugis datang ke maluku?,1521,WA
50,kapan portugis datang ke maluku?,1521,WA
51,kapan portugis datang ke maluku?,1498,WA
52,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
53,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
54,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
55,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
56,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
57,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,AC
58,siapa penulis kitab negara kertagama?,rahwana,WA
59,siapa penulis kitab negara kertagama?,NO ANSWER,WA
60,siapa penulis kitab negara kertagama?,NO ANSWER,WA
61,kapan voc didirikan?,tahun 1602,AC
62,kapan voc didirikan?,tahun 1602,AC
63,kapan voc didirikan?,tahun 1602,AC
64,kapan voc dibubarkan?,1743,WA
65,kapan voc dibubarkan?,1703,WA
66,kapan voc dibubarkan?,1749,WA
67,siapa multatuli?,NO ANSWER,WA
68,siapa multatuli?,NO ANSWER,WA
69,siapa multatuli?,NO ANSWER,WA
70,dimana pattimura dilahirkan?,NO ANSWER,WA
71,dimana pattimura dilahirkan?,NO ANSWER,WA
72,dimana pattimura dilahirkan?,NO ANSWER,WA
73,kapan pangeran antasari wafat?,tanggal 14 maret 1862,WA
74,kapan pangeran antasari wafat?,tanggal 14 maret 1862,WA
75,kapan pangeran antasari wafat?,11 oktober 1862,AC
76,dimana pangeran antasari wafat?,kampung,WA
77,dimana pangeran antasari wafat?,kampung,WA
78,dimana pangeran antasari wafat?,jawa,WA
79,kapan ekspedisi pertama belanda di bali terjadi?,1846,AC
80,kapan ekspedisi pertama belanda di bali terjadi?,1846 1905,WA
81,kapan ekspedisi pertama belanda di bali terjadi?,1846,AC
82,kapan perlawanan di aceh terjadi?,tanggal 19 september 1945,WA
83,kapan perlawanan di aceh terjadi?,tahun 1879,AC
84,kapan perlawanan di aceh terjadi?,tahun 1879,AC
85,siapa pendiri budi utomo?,utomo,WA
86,siapa pendiri budi utomo?,soetomo,AC
87,siapa pendiri budi utomo?,soetomo,AC
88,kapan sarekat islam didirikan?,1912,WA
89,kapan sarekat islam didirikan?,1912,WA
90,kapan sarekat islam didirikan?,tahun 1911,AC
91,siapa pendiri sarekat islam?,indische partij muhammadiyah,WA
92,siapa pendiri sarekat islam?,indische partij muhammadiyah,WA
93,siapa pendiri sarekat islam?,indische partij muhammadiyah,WA
94,kapan indische partij didirikan?,tanggal 20 mei 1908,WA
95,kapan indische partij didirikan?,tanggal 25 desember 1912,AC
96,kapan indische partij didirikan?,tanggal 25 desember 1912,AC
97,dimana muhammadiyah didirikan?,yogyakarta,AC
98,dimana muhammadiyah didirikan?,bandung,WA
99,dimana muhammadiyah didirikan?,yogyakarta,AC
100,kapan muhammadiyah didirikan?,tanggal 1 januari 1925,WA
101,kapan muhammadiyah didirikan?,tanggal 31 januari 1926,WA
102,kapan muhammadiyah didirikan?,tahun 1932,WA
103,kapan partai komunis indonesia berdiri?,7-Nov-45,WA
104,kapan partai komunis indonesia berdiri?,7-Nov-45,WA
105,kapan partai komunis indonesia berdiri?,8 nopember 1945,WA
106,siapa yang membawa ajaran marxis?,soekarno,WA
107,siapa yang membawa ajaran marxis?,NO ANSWER,WA
108,siapa yang membawa ajaran marxis?,NO ANSWER,WA
109,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 3 november 1945,WA
110,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 3 november 1945,WA
111,kapan partai partai politik yang dipelopori oleh Sutardjo Kartohadikusumo mengajukan usul atau petisi?,tanggal 3 november 1945,WA
112,kapan sumpah pemuda terjadi?,tahun 1399,WA
113,kapan sumpah pemuda terjadi?,1477,WA
114,kapan sumpah pemuda terjadi?,NO ANSWER,WA
115,kapan partai nasional indonesia lahir?,1945,WA
116,kapan partai nasional indonesia lahir?,uud 1945,WA
117,kapan partai nasional indonesia lahir?,tanggal 29 agustus 1945,WA
118,kapan sistem tanam paksa diterapkan?,tahun 1831,WA
119,kapan sistem tanam paksa diterapkan?,tahun 1831,WA
120,kapan sistem tanam paksa diterapkan?,NO ANSWER,WA
121,kapan sidang kabinet dwikora diadakan?,tanggal 20 nopember 1956,WA
122,kapan sidang kabinet dwikora diadakan?,masa orde,WA
123,kapan sidang kabinet dwikora diadakan?,masa orde,WA
124,kapan supersemar dikeluarkan?,tanggal 11 maret 1966,AC
125,kapan supersemar dikeluarkan?,tanggal 11 maret 1966,AC
126,kapan supersemar dikeluarkan?,11 maret 1966,AC
127,siapa pemimpin APRA?,dr,WA
128,siapa pemimpin APRA?,kapten westerling,AC
129,siapa pemimpin APRA?,kolonel kawilarang,WA
130,siapa pemimpin RMS?,dr,WA
131,siapa pemimpin RMS?,kolonel kawilarang,WA
132,siapa pemimpin RMS?,mayor achmad wiranata,WA
133,kapan gerakan non blok diselenggarakan?,tanggal 1 6 september 1961,AC
134,kapan gerakan non blok diselenggarakan?,tanggal 5 10 oktober 1964,AC
135,kapan gerakan non blok diselenggarakan?,tanggal 5 10 oktober 1964,AC
136,kapan rengasdengklok terjadi?,tanggal 14 agustus 1945,WA
137,kapan rengasdengklok terjadi?,tanggal 16 agustus 1945 pukul 04.30,AC
138,kapan rengasdengklok terjadi?,tanggal 16 agustus 1945 pukul 04.30,AC
139,kapan seinendan didirikan?,tanggal 29 april 1943,AC
140,kapan seinendan didirikan?,tanggal 29 april 1943,AC
141,kapan seinendan didirikan?,tanggal 29 april 1943,AC
142,kapan rakyat bali melawan belanda?,1846 1905,AC
143,kapan rakyat bali melawan belanda?,1846 1905,AC
144,kapan rakyat bali melawan belanda?,1846 1905,AC
145,siapa penulis konsep naskah proklamasi?,sukarno,AC
146,siapa penulis konsep naskah proklamasi?,sukarno,AC
147,siapa penulis konsep naskah proklamasi?,sukarno,AC
148,dimana konferensi meja bundar dilaksanakan?,jakara,WA
149,dimana konferensi meja bundar dilaksanakan?,indonesia,WA
150,dimana konferensi meja bundar dilaksanakan?,luar jawa,WA
151,dimana perjanjian renville dibuat?,jakarta,WA
152,dimana perjanjian renville dibuat?,wilayah indonesia,WA
153,dimana perjanjian renville dibuat?,wilayah indonesia,WA
154,kapan perjanjian renville dilakukan?,bulan juni 1948,AC
155,kapan perjanjian renville dilakukan?,bulan juni 1948,AC
156,kapan perjanjian renville dilakukan?,bulan september 1948,WA
157,siapa pengetik naskah proklamasi?,sukarno,WA
158,siapa pengetik naskah proklamasi?,sukarno,WA
159,siapa pengetik naskah proklamasi?,mr ahmad subardjo,WA
160,kapan pancasila lahir?,uud 1945,WA
161,kapan pancasila lahir?,1945,WA
162,kapan pancasila lahir?,1945,WA
163,siapa ketua ppki?,prof mr dr soepomo,WA
164,siapa ketua ppki?,drs moh,WA
165,siapa ketua ppki?,drs moh,WA
166,kapan nagasaki dibom?,8 agustus 1945,WA
167,kapan nagasaki dibom?,10 agustus 1945,WA
168,kapan nagasaki dibom?,tanggal 9 agustus 1945,AC
169,kapan hiroshima dibom?,6 agustus 1945,AC
170,kapan hiroshima dibom?,tanggal 9 agustus 1945,WA
171,kapan hiroshima dibom?,tanggal 8 agustus 1945,WA
172,kapan reformasi terjadi?,13 mei 1998,AC
173,kapan reformasi terjadi?,13 mei 1998,AC
174,kapan reformasi terjadi?,tahun 1998,AC
175,dimana letak kerajaan majapahit?,gujarat,WA
176,dimana letak kerajaan majapahit?,makam leluhurnya,WA
177,dimana letak kerajaan majapahit?,wilayah,WA
178,kapan indonesia kembali menjadi anggota pbb?,tahun 1961,WA
179,kapan indonesia kembali menjadi anggota pbb?,tanggal 1 mei 1963,WA
180,kapan indonesia kembali menjadi anggota pbb?,masa kabineg natsir tahun 1950,WA
